depth,count
0,7283427
1,722778
2,412543
3,315765
4,226377
5,202903
6,136154
7,130444
8,91044
9,87770
10,61994
11,63613
12,41576
13,42543
14,28172
15,27100
16,19861
17,20793
18,13740
19,14142
20,9373
21,9571
22,6400
23,6835
24,4470
25,4445
26,3041
27,3242
28,2060
29,2056
30,1261
31,1189
32,802
33,779
34,418
35,422
36,219
37,200
38,118
39,107
40,63
41,55
42,34
43,36
44,21
45,11
46,6
47,6
48,3
49,4
50,3
51,3
52,2
53,1
54,1
55,1
56,1
57,1
